Name,TotalOccurrences,AlwaysUsed
"org.jfree.chart.axis.AxisSpace  ",20,True
"org.jfree.chart.event.ChartChangeEvent  ",426,True
"org.jfree.chart.block.FlowArrangement  ",25,True
"org.jfree.chart.axis.DateAxis$DefaultTimeline  ",61,False
"org.jfree.data.xy.XYSeriesCollection  ",1198,True
"org.jfree.chart.title.LegendGraphic  ",82,True
"org.jfree.chart.title.TextTitle  ",50,True
"org.jfree.chart.XYStepChartTest$LocalListener  ",2,False
"org.jfree.data.xy.AbstractXYDataset  ",306,True
"org.jfree.chart.axis.ValueAxis  ",1038,True
"org.jfree.chart.block.BlockResult  ",5,True
"org.jfree.chart.axis.NumberTickUnitSource  ",177,True
"org.jfree.data.general.DatasetUtils  ",233,True
"org.jfree.chart.util.StrokeList  ",8,False
"org.jfree.chart.renderer.xy.XYAreaRenderer  ",1,False
"org.jfree.data.xy.XYDataItem  ",672,True
"org.jfree.chart.plot.XYPlot  ",1712,True
"org.jfree.chart.block.BlockParams  ",35,True
"org.jfree.chart.util.AbstractObjectList  ",144,True
"org.jfree.chart.XYStepChartTest  ",9,False
"org.jfree.chart.ui.RectangleAnchor  ",15,True
"org.jfree.chart.title.LegendTitle  ",125,True
"org.jfree.chart.text.TextUtils  ",137,True
"org.jfree.data.xy.IntervalXYDelegate  ",186,False
"org.jfree.chart.ui.RectangleEdge  ",124,True
"org.jfree.chart.block.LabelBlock  ",10,True
"org.jfree.data.general.Series  ",286,True
"org.jfree.chart.XYLineChartTest  ",9,False
"org.jfree.chart.block.BlockContainer  ",90,True
"org.jfree.chart.XYBarChartTest  ",9,False
"org.jfree.chart.block.BlockBorder  ",160,True
"org.jfree.chart.axis.DateTickUnit  ",132,False
"org.jfree.chart.util.ResourceBundleWrapper  ",5,True
"org.jfree.chart.StandardChartTheme  ",135,True
"org.jfree.chart.util.PaintList  ",21,True
"org.jfree.chart.XYAreaChartTest$LocalListener  ",2,False
"org.jfree.chart.LegendItemCollection  ",20,True
"org.jfree.chart.text.TextBlock  ",75,True
"org.jfree.chart.LegendItem  ",125,True
"org.jfree.chart.axis.DateTickUnitType  ",882,False
"org.jfree.chart.renderer.AbstractRenderer  ",478,True
"org.jfree.chart.axis.Tick  ",20,True
"org.jfree.chart.plot.DefaultDrawingSupplier  ",80,True
"org.jfree.chart.renderer.xy.AbstractXYItemRenderer  ",272,True
"org.jfree.chart.text.TextLine  ",60,True
"org.jfree.data.general.AbstractSeriesDataset  ",58,True
"org.jfree.data.xy.XYBarDataset  ",249,False
"org.jfree.chart.XYBarChartTest$LocalListener  ",2,False
"org.jfree.data.Range  ",864,True
"org.jfree.chart.XYAreaChartTest  ",9,False
"org.jfree.data.xy.AbstractIntervalXYDataset  ",6,False
"org.jfree.chart.axis.DateAxis  ",74,False
"org.jfree.chart.renderer.xy.XYLineAndShapeRenderer  ",17,False
"org.jfree.chart.text.G2TextMeasurer  ",12,True
"org.jfree.chart.block.AbstractBlock  ",370,True
"org.jfree.chart.title.Title  ",190,True
"org.jfree.chart.XYStepAreaChartTest$LocalListener  ",2,False
"org.jfree.chart.axis.Axis  ",752,True
"org.jfree.chart.axis.TickUnit  ",4780,True
"org.jfree.chart.axis.TickUnits  ",123,False
"org.jfree.chart.XYStepAreaChartTest  ",9,False
"org.jfree.chart.JFreeChart  ",957,True
"org.jfree.data.time.DateRange  ",12,False
"org.jfree.chart.text.TextFragment  ",70,True
"org.jfree.chart.util.Args  ",2156,True
"org.jfree.chart.ChartColor  ",5,True
"org.jfree.data.xy.XYSeries  ",1312,True
"org.jfree.chart.axis.NumberAxis  ",685,True
"org.jfree.chart.util.BooleanList  ",76,True
"org.jfree.chart.block.RectangleConstraint  ",125,True
"org.jfree.chart.ui.Size2D  ",225,True
"org.jfree.chart.axis.NumberTickUnit  ",45,True
"org.jfree.chart.ui.RectangleInsets  ",1690,True
"org.jfree.chart.block.CenterArrangement  ",15,True
"org.jfree.chart.util.ShapeUtils  ",5,True
"org.jfree.chart.event.RendererChangeEvent  ",44,True
"org.jfree.chart.ui.TextAnchor  ",90,True
"org.jfree.chart.block.BorderArrangement  ",20,True
"org.jfree.data.general.AbstractDataset  ",48,True
"org.jfree.chart.title.LegendItemBlockContainer  ",15,True
"org.jfree.chart.renderer.xy.XYBarRenderer  ",32,False
"org.jfree.chart.util.ShapeList  ",9,False
"org.jfree.chart.labels.StandardXYSeriesLabelGenerator  ",10,True
"org.jfree.chart.plot.Plot  ",1133,True
"org.jfree.chart.ChartFactory  ",27,True
"org.jfree.chart.XYLineChartTest$LocalListener  ",2,False
