Name,TotalOccurrences,AlwaysUsed
"  getRangeBounds  ",18,False
"  getUpperBound  ",238,True
"  calculateDimensions  ",110,True
"  calculateTotalWidth  ",25,True
"  isAutoWidth  ",60,False
"  axisChanged  ",120,True
"  getLineStroke  ",5,True
"  getShape  ",11,True
"  getOutlineStroke  ",5,True
"  testSetSeriesToolTipGenerator  ",5,True
"  getEndXValue  ",30,False
"  resolveRangeAxisLocation  ",5,True
"  chartChanged  ",5,True
"  getUpperDate  ",3,False
"  createXYLineChart  ",6,False
"  fetchLegendItems  ",5,True
"  setDomainCrosshairPaint  ",15,True
"  titleChanged  ",60,True
"  getBundle  ",5,True
"  getDataRange  ",103,True
"  getGenerateEntities  ",25,True
"  compareTo  ",2408,True
"  calculateBottomOutset  ",85,True
"  getLowerMillis  ",3,False
"  getInsets  ",130,True
"  isRight  ",20,True
"  getUpperMillis  ",3,False
"  setUp  ",15,True
"  next  ",19,True
"  selectAutoTickUnit  ",10,True
"  setDefaultShapesVisible  ",3,False
"  setAutoRangeIncludesZero  ",12,False
"  getStroke  ",6,False
"  calculateTopOutset  ",85,True
"  setOrientation  ",15,True
"  findDomainBounds  ",177,True
"  checkAxisIndices  ",30,True
"  isVerticalTickLabels  ",48,True
"  getPaint  ",16,True
"  getAnnotations  ",73,True
"  trimMargin  ",35,True
"  mapDatasetToDomainAxes  ",15,True
"  getRendererCount  ",15,True
"  minIgnoreNaN  ",120,True
"  getRawDataItem  ",312,True
"  add  ",370,True
"  setShapeFilled  ",5,True
"  setToolTipText  ",6,True
"  getWidth  ",135,True
"  getDomainAxisLocation  ",5,True
"  getFixedAutoRange  ",103,True
"  setRangeZeroBaselinePaint  ",15,True
"  toMillisecond  ",26,False
"  rendererChanged  ",44,True
"  autoAdjustRange  ",148,True
"  getSeriesShape  ",3,False
"  getFillPaint  ",5,True
"  estimateMaximumTickLabelHeight  ",10,True
"  findMaximumTickLabelHeight  ",5,True
"  getTop  ",15,True
"  getDomainAxisEdge  ",5,True
"  nextLineBreak  ",5,True
"  isInverted  ",39,True
"  setRenderer  ",27,False
"  setShadowVisible  ",3,False
"  updateBoundsForAddedItem  ",60,True
"  getStartX  ",6,False
"  getAutoPopulateSeriesPaint  ",15,True
"  getLine  ",7,True
"  clear  ",40,True
"  setTickLabelPaint  ",30,True
"  applyToPlot  ",15,True
"  fireChangeEvent  ",535,True
"  calculateVisibleTickCount  ",9,True
"  getLabelAngle  ",10,True
"  getLegendItemLabelGenerator  ",4,False
"  createXYStepChart  ",3,False
"  getHeightConstraintType  ",35,True
"  createXYBarChart  ",6,False
"  getSeriesOutlinePaint  ",2,False
"  getFillPaintTransformer  ",5,True
"  getTreatLegendShapeAsLine  ",1,False
"  getSeriesLinesVisible  ",2,False
"  getAutoPopulateSeriesStroke  ",15,True
"  getMinorTickCount  ",38,True
"  getNumberFormatOverride  ",36,True
"  getLargerTickUnit  ",1,False
"  setBounds  ",20,True
"  setSeriesStroke  ",2,False
"  createAlignedRectangle2D  ",10,True
"  setLineStroke  ",5,True
"  isSeriesVisible  ",65,True
"  get  ",109,True
"  createStandardSeriesShapes  ",5,True
"  arrange  ",50,True
"  setPlot  ",45,True
"  isLineVisible  ",5,True
"  configureDomainAxes  ",59,True
"  getSeriesStroke  ",2,False
"  setRangeCrosshairPaint  ",15,True
"  getSeriesShapesVisible  ",2,False
"  setDefaultToolTipGenerator  ",15,True
"  getTickSize  ",54,True
"  getAnchorPoint  ",15,True
"  selectVerticalAutoTickUnit  ",5,True
"  setLabelPaint  ",30,True
"  getFixedDimension  ",10,True
"  setForegroundAlpha  ",3,False
"  getCalendarField  ",4,False
"  getAutoRangeStickyZero  ",90,True
"  getHeight  ",110,True
"  estimateMaximumTickLabelWidth  ",10,True
"  getUnitType  ",1,False
"  deriveTextBoundsAnchorOffsets  ",10,True
"  getLabelEnclosure  ",10,True
"  getDatasetsMappedToRangeAxis  ",44,True
"  setPadding  ",50,True
"  getWidthConstraintType  ",35,True
"  setDatasetIndex  ",5,True
"  lookupSeriesOutlineStroke  ",4,False
"  drawAlignedString  ",10,True
"  addVetoableChangeListener  ",20,True
"  contains  ",191,True
"  getDataBoundsIncludesVisibleSeriesOnly  ",58,True
