org.jfree.chart.XYStepAreaChartTest  ,  setUp  ,  []  ,1
org.jfree.chart.XYStepAreaChartTest  ,  createChart  ,  []  ,2
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,3
org.jfree.data.xy.XYSeries  ,  add  ,  [double- double]  ,3
org.jfree.data.xy.XYSeries  ,  add  ,  [class java.lang.Number- class java.lang.Number- boolean]  ,4
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,5
org.jfree.data.xy.XYSeries  ,  add  ,  [class org.jfree.data.xy.XYDataItem- boolean]  ,5
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,6
org.jfree.data.xy.XYDataItem  ,  clone  ,  []  ,6
org.jfree.data.xy.XYSeries  ,  updateBoundsForAddedItem  ,  [class org.jfree.data.xy.XYDataItem]  ,6
org.jfree.data.xy.XYDataItem  ,  getXValue  ,  []  ,7
org.jfree.data.xy.XYSeries  ,  minIgnoreNaN  ,  [double- double]  ,7
org.jfree.data.xy.XYSeries  ,  maxIgnoreNaN  ,  [double- double]  ,7
org.jfree.data.xy.XYDataItem  ,  getY  ,  []  ,7
org.jfree.data.xy.XYDataItem  ,  getYValue  ,  []  ,7
org.jfree.data.xy.XYSeries  ,  minIgnoreNaN  ,  [double- double]  ,7
org.jfree.data.xy.XYSeries  ,  maxIgnoreNaN  ,  [double- double]  ,7
org.jfree.data.xy.XYSeries  ,  getItemCount  ,  []  ,6
org.jfree.data.general.Series  ,  fireSeriesChanged  ,  []  ,6
org.jfree.data.general.Series  ,  notifyListeners  ,  [class org.jfree.data.general.SeriesChangeEvent]  ,7
org.jfree.data.xy.XYSeries  ,  add  ,  [double- double]  ,3
org.jfree.data.xy.XYSeries  ,  add  ,  [class java.lang.Number- class java.lang.Number- boolean]  ,4
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,5
org.jfree.data.xy.XYSeries  ,  add  ,  [class org.jfree.data.xy.XYDataItem- boolean]  ,5
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,6
org.jfree.data.xy.XYDataItem  ,  clone  ,  []  ,6
org.jfree.data.xy.XYDataItem  ,  compareTo  ,  [class java.lang.Object]  ,6
org.jfree.data.xy.XYDataItem  ,  getX  ,  []  ,7
org.jfree.data.xy.XYSeries  ,  updateBoundsForAddedItem  ,  [class org.jfree.data.xy.XYDataItem]  ,6
org.jfree.data.xy.XYDataItem  ,  getXValue  ,  []  ,7
org.jfree.data.xy.XYSeries  ,  minIgnoreNaN  ,  [double- double]  ,7
org.jfree.data.xy.XYSeries  ,  maxIgnoreNaN  ,  [double- double]  ,7
org.jfree.data.xy.XYDataItem  ,  getY  ,  []  ,7
org.jfree.data.xy.XYDataItem  ,  getYValue  ,  []  ,7
org.jfree.data.xy.XYSeries  ,  minIgnoreNaN  ,  [double- double]  ,7
org.jfree.data.xy.XYSeries  ,  maxIgnoreNaN  ,  [double- double]  ,7
org.jfree.data.xy.XYSeries  ,  getItemCount  ,  []  ,6
org.jfree.data.general.Series  ,  fireSeriesChanged  ,  []  ,6
org.jfree.data.general.Series  ,  notifyListeners  ,  [class org.jfree.data.general.SeriesChangeEvent]  ,7
org.jfree.data.xy.XYSeries  ,  add  ,  [double- double]  ,3
org.jfree.data.xy.XYSeries  ,  add  ,  [class java.lang.Number- class java.lang.Number- boolean]  ,4
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,5
org.jfree.data.xy.XYSeries  ,  add  ,  [class org.jfree.data.xy.XYDataItem- boolean]  ,5
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,6
org.jfree.data.xy.XYDataItem  ,  clone  ,  []  ,6
org.jfree.data.xy.XYDataItem  ,  compareTo  ,  [class java.lang.Object]  ,6
org.jfree.data.xy.XYDataItem  ,  getX  ,  []  ,7
org.jfree.data.xy.XYDataItem  ,  compareTo  ,  [class java.lang.Object]  ,6
org.jfree.data.xy.XYDataItem  ,  getX  ,  []  ,7
org.jfree.data.xy.XYSeries  ,  updateBoundsForAddedItem  ,  [class org.jfree.data.xy.XYDataItem]  ,6
org.jfree.data.xy.XYDataItem  ,  getXValue  ,  []  ,7
org.jfree.data.xy.XYSeries  ,  minIgnoreNaN  ,  [double- double]  ,7
org.jfree.data.xy.XYSeries  ,  maxIgnoreNaN  ,  [double- double]  ,7
org.jfree.data.xy.XYDataItem  ,  getY  ,  []  ,7
org.jfree.data.xy.XYDataItem  ,  getYValue  ,  []  ,7
