Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/api/AbstractDoubleAssert.<clinit>,()V,10,1
org/assertj/core/api/AbstractDoubleAssert.AbstractDoubleAssert,(Ljava/lang/Double;Ljava/lang/Class;)V,21,1
org/assertj/core/api/AbstractDoubleAssert.AbstractDoubleAssert,(DLjava/lang/Class;)V,22,1
org/assertj/core/api/AbstractDoubleAssert.isNaN,()Lorg/assertj/core/api/AbstractDoubleAssert;,18,1
org/assertj/core/api/AbstractDoubleAssert.isNotNaN,()Lorg/assertj/core/api/AbstractDoubleAssert;,18,1
org/assertj/core/api/AbstractDoubleAssert.isZero,()Lorg/assertj/core/api/AbstractDoubleAssert;,28,2
org/assertj/core/api/AbstractDoubleAssert.isNotZero,()Lorg/assertj/core/api/AbstractDoubleAssert;,40,3
org/assertj/core/api/AbstractDoubleAssert.isOne,()Lorg/assertj/core/api/AbstractDoubleAssert;,18,1
org/assertj/core/api/AbstractDoubleAssert.isPositive,()Lorg/assertj/core/api/AbstractDoubleAssert;,18,1
org/assertj/core/api/AbstractDoubleAssert.isNegative,()Lorg/assertj/core/api/AbstractDoubleAssert;,18,1
org/assertj/core/api/AbstractDoubleAssert.isNotNegative,()Lorg/assertj/core/api/AbstractDoubleAssert;,18,1
org/assertj/core/api/AbstractDoubleAssert.isNotPositive,()Lorg/assertj/core/api/AbstractDoubleAssert;,18,1
org/assertj/core/api/AbstractDoubleAssert.isCloseTo,(DLorg/assertj/core/data/Offset;)Lorg/assertj/core/api/AbstractDoubleAssert;,21,1
org/assertj/core/api/AbstractDoubleAssert.isNotCloseTo,(DLorg/assertj/core/data/Offset;)Lorg/assertj/core/api/AbstractDoubleAssert;,21,1
org/assertj/core/api/AbstractDoubleAssert.isCloseTo,(Ljava/lang/Double;Lorg/assertj/core/data/Offset;)Lorg/assertj/core/api/AbstractDoubleAssert;,20,1
org/assertj/core/api/AbstractDoubleAssert.isNotCloseTo,(Ljava/lang/Double;Lorg/assertj/core/data/Offset;)Lorg/assertj/core/api/AbstractDoubleAssert;,20,1
org/assertj/core/api/AbstractDoubleAssert.isCloseTo,(Ljava/lang/Double;Lorg/assertj/core/data/Percentage;)Lorg/assertj/core/api/AbstractDoubleAssert;,20,1
org/assertj/core/api/AbstractDoubleAssert.isNotCloseTo,(Ljava/lang/Double;Lorg/assertj/core/data/Percentage;)Lorg/assertj/core/api/AbstractDoubleAssert;,20,1
org/assertj/core/api/AbstractDoubleAssert.isCloseTo,(DLorg/assertj/core/data/Percentage;)Lorg/assertj/core/api/AbstractDoubleAssert;,21,1
org/assertj/core/api/AbstractDoubleAssert.isNotCloseTo,(DLorg/assertj/core/data/Percentage;)Lorg/assertj/core/api/AbstractDoubleAssert;,21,1
org/assertj/core/api/AbstractDoubleAssert.isEqualTo,(D)Lorg/assertj/core/api/AbstractDoubleAssert;,20,1
org/assertj/core/api/AbstractDoubleAssert.isEqualTo,(Ljava/lang/Double;Lorg/assertj/core/data/Offset;)Lorg/assertj/core/api/AbstractDoubleAssert;,20,1
org/assertj/core/api/AbstractDoubleAssert.isEqualTo,(DLorg/assertj/core/data/Offset;)Lorg/assertj/core/api/AbstractDoubleAssert;,21,1
org/assertj/core/api/AbstractDoubleAssert.isNotEqualTo,(D)Lorg/assertj/core/api/AbstractDoubleAssert;,20,1
org/assertj/core/api/AbstractDoubleAssert.isLessThan,(D)Lorg/assertj/core/api/AbstractDoubleAssert;,20,1
org/assertj/core/api/AbstractDoubleAssert.isLessThanOrEqualTo,(D)Lorg/assertj/core/api/AbstractDoubleAssert;,20,1
org/assertj/core/api/AbstractDoubleAssert.isGreaterThan,(D)Lorg/assertj/core/api/AbstractDoubleAssert;,20,1
org/assertj/core/api/AbstractDoubleAssert.isGreaterThanOrEqualTo,(D)Lorg/assertj/core/api/AbstractDoubleAssert;,20,1
org/assertj/core/api/AbstractDoubleAssert.isBetween,(Ljava/lang/Double;Ljava/lang/Double;)Lorg/assertj/core/api/AbstractDoubleAssert;,20,1
org/assertj/core/api/AbstractDoubleAssert.isStrictlyBetween,(Ljava/lang/Double;Ljava/lang/Double;)Lorg/assertj/core/api/AbstractDoubleAssert;,20,1
org/assertj/core/api/AbstractDoubleAssert.usingComparator,(Ljava/util/Comparator;)Lorg/assertj/core/api/AbstractDoubleAssert;,25,1
org/assertj/core/api/AbstractDoubleAssert.usingDefaultComparator,()Lorg/assertj/core/api/AbstractDoubleAssert;,18,1
org/assertj/core/api/AbstractDoubleAssert.assertIsPrimitiveZero,()V,28,2
org/assertj/core/api/AbstractDoubleAssert.assertIsPrimitiveNonZero,()V,25,2
org/assertj/core/api/AbstractDoubleAssert.isZero,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractDoubleAssert.isEqualTo,(Ljava/lang/Number;Lorg/assertj/core/data/Offset;)Lorg/assertj/core/api/FloatingPointNumberAssert;,11,1
org/assertj/core/api/AbstractDoubleAssert.isNotNaN,()Lorg/assertj/core/api/FloatingPointNumberAssert;,7,1
org/assertj/core/api/AbstractDoubleAssert.isNotZero,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractDoubleAssert.isNegative,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractDoubleAssert.isCloseTo,(Ljava/lang/Number;Lorg/assertj/core/data/Percentage;)Lorg/assertj/core/api/NumberAssert;,10,1
org/assertj/core/api/AbstractDoubleAssert.isCloseTo,(Ljava/lang/Number;Lorg/assertj/core/data/Offset;)Lorg/assertj/core/api/NumberAssert;,11,1
org/assertj/core/api/AbstractDoubleAssert.isCloseTo,(Ljava/lang/Number;Lorg/assertj/core/data/Offset;)Lorg/assertj/core/api/FloatingPointNumberAssert;,11,1
org/assertj/core/api/AbstractDoubleAssert.usingComparator,(Ljava/util/Comparator;)Lorg/assertj/core/api/AbstractComparableAssert;,9,1
org/assertj/core/api/AbstractDoubleAssert.isNaN,()Lorg/assertj/core/api/FloatingPointNumberAssert;,7,1
org/assertj/core/api/AbstractDoubleAssert.isPositive,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractDoubleAssert.isNotNegative,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractDoubleAssert.isBetween,(Ljava/lang/Number;Ljava/lang/Number;)Lorg/assertj/core/api/NumberAssert;,11,1
org/assertj/core/api/AbstractDoubleAssert.isBetween,(Ljava/lang/Comparable;Ljava/lang/Comparable;)Lorg/assertj/core/api/AbstractComparableAssert;,11,1
org/assertj/core/api/AbstractDoubleAssert.isStrictlyBetween,(Ljava/lang/Number;Ljava/lang/Number;)Lorg/assertj/core/api/NumberAssert;,11,1
org/assertj/core/api/AbstractDoubleAssert.isStrictlyBetween,(Ljava/lang/Comparable;Ljava/lang/Comparable;)Lorg/assertj/core/api/AbstractComparableAssert;,11,1
org/assertj/core/api/AbstractDoubleAssert.isNotPositive,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractDoubleAssert.isOne,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractDoubleAssert.isNotCloseTo,(Ljava/lang/Number;Lorg/assertj/core/data/Percentage;)Lorg/assertj/core/api/NumberAssert;,10,1
org/assertj/core/api/AbstractDoubleAssert.isNotCloseTo,(Ljava/lang/Number;Lorg/assertj/core/data/Offset;)Lorg/assertj/core/api/NumberAssert;,11,1
org/assertj/core/api/AbstractDoubleAssert.isNotCloseTo,(Ljava/lang/Number;Lorg/assertj/core/data/Offset;)Lorg/assertj/core/api/FloatingPointNumberAssert;,11,1
org/assertj/core/api/AbstractDoubleAssert.usingDefaultComparator,()Lorg/assertj/core/api/AbstractComparableAssert;,7,1
