Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/internal/Longs.<clinit>,()V,9,1
org/assertj/core/internal/Longs.instance,()Lorg/assertj/core/internal/Longs;,6,1
org/assertj/core/internal/Longs.Longs,()V,9,1
org/assertj/core/internal/Longs.Longs,(Lorg/assertj/core/internal/ComparisonStrategy;)V,10,1
org/assertj/core/internal/Longs.zero,()Ljava/lang/Long;,7,1
org/assertj/core/internal/Longs.one,()Ljava/lang/Long;,7,1
org/assertj/core/internal/Longs.absDiff,(Ljava/lang/Long;Ljava/lang/Long;)Ljava/lang/Long;,12,1
org/assertj/core/internal/Longs.isGreaterThan,(Ljava/lang/Long;Ljava/lang/Long;)Z,16,2
org/assertj/core/internal/Longs.one,()Ljava/lang/Number;,7,1
org/assertj/core/internal/Longs.isGreaterThan,(Ljava/lang/Number;Ljava/lang/Number;)Z,11,1
org/assertj/core/internal/Longs.zero,()Ljava/lang/Number;,7,1
org/assertj/core/internal/Longs.absDiff,(Ljava/lang/Number;Ljava/lang/Number;)Ljava/lang/Number;,11,1
