Name,TotalOccurrences,AlwaysUsed
"org.assertj.core.api.AbstractCharSequenceAssert  ",1,False
"org.assertj.core.api.Condition  ",6,False
"org.assertj.core.api.WritableAssertionInfo  ",159,True
"org.assertj.core.extractor.ByNameSingleExtractorTest$EmployeeWithOverriddenName  ",2,False
"org.assertj.core.groups.FieldsOrPropertiesExtractor  ",8,False
"org.assertj.core.api.AbstractBooleanAssert  ",26,False
"org.assertj.core.util.Compatibility$System  ",28,True
"org.assertj.core.internal.Objects  ",324,True
"org.assertj.core.description.Description  ",4,False
"org.assertj.core.internal.Iterables  ",75,False
"org.assertj.core.test.VehicleFactory  ",7,False
"org.assertj.core.internal.IterableDiff  ",52,False
"org.assertj.core.api.Assertions_tuple_Test  ",1,False
"org.assertj.core.test.Name  ",24,False
"org.assertj.core.error.ConstructorInvoker$SetAccessibleValueAction  ",6,False
"org.assertj.core.util.OtherStringTestComparator  ",2,False
"org.assertj.core.error.BasicErrorMessageFactory  ",3,False
"org.assertj.core.api.Assertions_assertThat_with_Boolean_Test  ",2,False
"org.assertj.core.presentation.StandardRepresentation_toStringOf_Test  ",52,False
"org.assertj.core.error.MessageFormatter  ",23,False
"org.assertj.core.test.ExpectedException  ",99,False
"org.assertj.core.navigation.ClassBasedNavigableIterable_Test  ",8,False
"org.assertj.core.presentation.StandardRepresentation_toStringOf_Test$3  ",2,False
"org.assertj.core.util.DateUtil  ",9,False
"org.assertj.core.condition.Join  ",4,False
"org.assertj.core.internal.Booleans  ",42,False
"org.assertj.core.internal.Arrays  ",5,False
"org.assertj.core.util.Arrays  ",389,False
"org.assertj.core.presentation.StandardRepresentation  ",537,False
"org.assertj.core.api.AssertionsForInterfaceTypes  ",12,False
"org.assertj.core.test.VehicleAssert  ",1,False
"org.assertj.core.groups.Properties  ",13,False
"org.assertj.core.api.ListAssert  ",4,False
"org.assertj.core.api.AbstractIntegerAssert  ",3,False
"org.assertj.core.internal.AbstractComparisonStrategy  ",3,False
"org.assertj.core.internal.StandardComparisonStrategy  ",219,True
"org.assertj.core.internal.Lists  ",8,False
"org.assertj.core.description.TextDescription_constructor_Test  ",3,False
"org.assertj.core.description.TextDescription  ",15,False
"org.assertj.core.util.Arrays_hasOnlyNullElements_Test  ",4,False
"org.assertj.core.internal.Characters  ",3,False
"org.assertj.core.util.introspection.Introspection  ",96,False
"org.assertj.core.util.Preconditions  ",407,True
"org.assertj.core.presentation.AbstractBaseRepresentationTest  ",72,False
"org.assertj.core.extractor.ByNameSingleExtractorTest  ",19,False
"org.assertj.core.util.Strings  ",114,False
"org.assertj.core.internal.TypeComparators_Test  ",21,False
"org.assertj.core.groups.Properties_extractProperty_Test  ",4,False
"org.assertj.core.extractor.ByNameSingleExtractorTest$EmployeeWithBrokenName  ",1,False
"org.assertj.core.extractor.ByNameSingleExtractor  ",19,False
"org.assertj.core.internal.Conditions  ",112,True
"org.assertj.core.util.IterableUtil  ",22,False
"org.assertj.core.api.AbstractIterableAssert  ",63,False
"org.assertj.core.internal.TypeComparators  ",78,False
"org.assertj.core.error.DescriptionFormatter  ",11,False
"org.assertj.core.configuration.ConfigurationProvider  ",113,True
"org.assertj.core.util.Lists  ",56,False
