Name,TotalOccurrences,AlwaysUsed
"  smartFormat  ",22,False
"  isBetween  ",3,False
"  should_match_if_at_least_one_Condition_matches  ",1,False
"  assertHasToString  ",2,False
"  should_return_empty_description_if_value_is_null  ",1,False
"  resetDefaults  ",72,False
"  should_pass  ",1,False
"  assertIterableContainsGivenValues  ",1,False
"  formatAsDatetime  ",2,False
"  hasCustomFormatterFor  ",119,False
"  hasOnlyNullElements  ",4,False
"  mostRelevantDescription  ",4,False
"  run  ",6,False
"  should_return_toString_of_Collection_of_String  ",1,False
"  isEqualTo  ",77,False
"  matches  ",6,False
"  checkNotNullOrEmpty  ",38,False
"  isSameAs  ",2,False
"  descriptionText  ",18,False
"  should_be_empty  ",1,False
"  iterableContains  ",62,False
"  isPackageAccess  ",6,False
"  unexpectedElements  ",6,False
"  entry  ",4,False
"  should_return_toString_of_date  ",1,False
"  asText  ",13,False
"  getPropertyGetter  ",19,False
"  should_return_true_if_array_has_only_null_elements  ",1,False
"  doesNotContain  ",1,False
"  newIsoDateFormat  ",1,False
"  checkNotNullIterables  ",2,False
"  should_pass_actual  ",2,False
"  should_return_exact_match  ",1,False
"  describedAs  ",36,False
"  getVehicle  ",14,False
"  should_return_toString_of_Collection_of_Collections  ",1,False
"  assertThat  ",200,True
"  should_create_a_new_Properties  ",1,False
"  toAssert  ",7,False
"  propertyValueOf  ",15,False
"  ageExtractor  ",1,False
"  getMe  ",6,False
"  toList  ",2,False
"  should_return_false_if_array_is_empty  ",1,False
"  extractProperty  ",6,False
"  shouldMatch  ",4,False
"  should_extract_pure_property_values  ",1,False
"  propertyValues  ",2,False
"  expect  ",17,False
"  toString_with_anonymous_comparator_overriding_toString  ",1,False
"  popNameFrom  ",7,False
"  should_return_toString_of_Map  ",1,False
"  getAbsolutePath  ",1,False
"  formatIfArgs  ",18,False
"  anyOf  ",2,False
"  should_extract_property_field_combinations  ",1,False
"  should_return_toString_of_calendar  ",1,False
"  setUp  ",45,False
"  toString_with_anonymous_comparator  ",1,False
"  should_throw_exception_if_no_object_is_given  ",1,False
"  nameExtractor  ",2,False
"  from  ",2,False
"  assertContainsExactly  ",5,False
"  byName  ",5,False
"  getAge  ",2,False
"  failureIfErrorMessageIsOverridden  ",4,False
"  toStringOf  ",227,False
"  should_return_false_if_array_has_at_least_one_element_not_null  ",1,False
"  lineSeparator  ",28,True
"  checkIsNotNull  ",8,False
"  newInstance  ",3,False
"  setFirst  ",12,False
"  readSimpleField  ",8,False
"  assertIsArray  ",5,False
"  defaultTypeComparators  ",28,False
"  apply  ",28,False
"  setAccessible  ",6,False
"  should_return_toString_of_AtomicReferenceFieldUpdater  ",1,False
"  checkIsInRange  ",4,False
"  put  ",67,False
"  isNestedField  ",8,False
"  expectWithMessageContaining  ",5,False
"  should_not_match_if_none_of_the_Conditions_match  ",1,False
"  should_format_assertj_map_entry  ",1,False
"  isNotNull  ",4,False
"  first_element_navigating_failing_test  ",1,False
"  first  ",2,False
"  areEqualArrays  ",33,False
"  should_return_toString_of_AtomicStampedReference  ",1,False
"  getAllSuperclasses  ",4,False
"  commonCheckThatIterableAssertionSucceeds  ",2,False
"  should_format_tuples  ",1,False
"  should_throw_error_if_property_name_is_null  ",1,False
"  isStandard  ",6,False
"  failIfEmptySinceActualIsNotEmpty  ",2,False
"  join  ",4,False
"  checkSameSizes  ",5,False
"  propertyValue  ",19,False
"  adultExtractor  ",2,False
"  with  ",8,False
"  checkArgument  ",178,False
"  getLast  ",2,False
"  newComparisonFailure  ",3,False
"  strictDateFormatForPattern  ",3,False
"  toString_with_comparator_overriding_toString_and_having_at  ",1,False
"  checkIsNotNullAndNotEmpty  ",1,False
"  toString_with_comparator_overriding_toString  ",1,False
"  tuple  ",6,False
"  last_element_navigating_failing_test  ",1,False
"  should_return_toString_of_array_of_arrays_up_to_the_maximum_allowed_elements  ",1,False
"  extractProperty_string_Test  ",1,False
"  buildAssert  ",7,False
"  should_fallback_to_field_if_exception_has_been_thrown_on_property_access  ",1,False
"  lastElement  ",2,False
"  isArrayTypePrimitive  ",13,False
"  should_throw_exception_when_given_name_is_empty  ",1,False
"  element_navigating_failing_test_index_greater_size  ",1,False
"  should_create_Assert  ",2,False
"  getName  ",15,False
"  removeAssertJRelatedElementsFromStackTraceIfNeeded  ",4,False
"  should_return_toString_of_array  ",1,False
"  isArray  ",133,False
"  afterTests  ",36,False
"  useRepresentation  ",110,True
"  findGetter  ",27,False
"  navigationDescription  ",9,False
"  get  ",28,True
"  size  ",18,False
"  newComparator  ",11,False
"  extracting  ",4,False
"  concat  ",59,False
"  stringContains  ",2,False
"  hasName  ",1,False
"  extract  ",23,False
