org.assertj.core.test.Name  ,  setFirst  ,  [class java.lang.String]  ,  1
org.assertj.core.test.Employee  ,  setName  ,  [class org.assertj.core.test.Name]  ,  1
org.assertj.core.test.Employee  ,  setAge  ,  [int]  ,  1
org.assertj.core.test.ExpectedException  ,  none  ,  []  ,  1
org.assertj.core.test.ExpectedException  ,  apply  ,  [class org.junit.runners.model.Statement- class org.junit.runner.Description]  ,  1
org.assertj.core.extractor.ByNameSingleExtractorTest  ,  should_extract_property_field_combinations  ,  []  ,  1
org.assertj.core.test.Name  ,  setFirst  ,  [class java.lang.String]  ,  2
org.assertj.core.test.Name  ,  setLast  ,  [class java.lang.String]  ,  2
org.assertj.core.test.Employee  ,  setName  ,  [class org.assertj.core.test.Name]  ,  2
org.assertj.core.test.Employee  ,  setAge  ,  [int]  ,  2
org.assertj.core.test.Name  ,  setFirst  ,  [class java.lang.String]  ,  2
org.assertj.core.test.Name  ,  setLast  ,  [class java.lang.String]  ,  2
org.assertj.core.test.Employee  ,  setName  ,  [class org.assertj.core.test.Name]  ,  2
org.assertj.core.test.Employee  ,  setAge  ,  [int]  ,  2
org.assertj.core.test.Name  ,  setFirst  ,  [class java.lang.String]  ,  2
org.assertj.core.test.Name  ,  setLast  ,  [class java.lang.String]  ,  2
org.assertj.core.extractor.Extractors  ,  byName  ,  [class java.lang.String]  ,  2
org.assertj.core.extractor.ByNameSingleExtractor  ,  extract  ,  [class java.lang.Object]  ,  2
org.assertj.core.util.Preconditions  ,  checkArgument  ,  [boolean- class java.lang.String- class [Ljava.lang.Object;]  ,  3
org.assertj.core.util.Preconditions  ,  checkArgument  ,  [boolean- class java.lang.String- class [Ljava.lang.Object;]  ,  3
org.assertj.core.util.Preconditions  ,  checkArgument  ,  [boolean- class java.lang.String- class [Ljava.lang.Object;]  ,  3
org.assertj.core.util.introspection.PropertySupport  ,  instance  ,  []  ,  3
org.assertj.core.util.introspection.FieldSupport  ,  extraction  ,  []  ,  3
org.assertj.core.util.introspection.PropertySupport  ,  instance  ,  []  ,  3
org.assertj.core.util.introspection.PropertyOrFieldSupport  ,  getValueOf  ,  [class java.lang.String- class java.lang.Object]  ,  3
org.assertj.core.util.Preconditions  ,  checkArgument  ,  [boolean- class java.lang.String- class [Ljava.lang.Object;]  ,  4
org.assertj.core.util.Preconditions  ,  checkArgument  ,  [boolean- class java.lang.String- class [Ljava.lang.Object;]  ,  4
org.assertj.core.util.Preconditions  ,  checkArgument  ,  [boolean- class java.lang.String- class [Ljava.lang.Object;]  ,  4
org.assertj.core.util.introspection.PropertyOrFieldSupport  ,  isNested  ,  [class java.lang.String]  ,  4
org.assertj.core.util.introspection.PropertyOrFieldSupport  ,  popNameFrom  ,  [class java.lang.String]  ,  4
