Name,LOC,Wheighted Method Count
org/assertj/core/api/AbstractAssert,199,99
org/assertj/core/api/AbstractBooleanAssert,27,7
org/assertj/core/api/AbstractCharSequenceAssert,176,58
org/assertj/core/api/AbstractIntegerAssert,111,43
org/assertj/core/api/AbstractIterableAssert,430,250
org/assertj/core/api/AbstractListAssert,165,81
org/assertj/core/api/AbstractObjectAssert,58,22
org/assertj/core/api/Assertions,304,162
org/assertj/core/api/AssertionsForClassTypes,174,104
org/assertj/core/api/AssertionsForInterfaceTypes,32,22
org/assertj/core/api/ClassBasedNavigableIterableAssert,22,7
org/assertj/core/api/Condition,35,16
org/assertj/core/api/ListAssert,114,78
org/assertj/core/api/WritableAssertionInfo,46,21
org/assertj/core/condition/AnyOf,21,8
org/assertj/core/condition/Join,20,9
org/assertj/core/configuration/ConfigurationProvider,11,3
org/assertj/core/configuration/Services,18,4
org/assertj/core/data/MapEntry,28,11
org/assertj/core/description/Description,22,9
org/assertj/core/description/TextDescription,22,11
org/assertj/core/error/BasicErrorMessageFactory,28,12
org/assertj/core/error/ConstructorInvoker$SetAccessibleValueAction,20,4
org/assertj/core/error/ConstructorInvoker,25,4
org/assertj/core/error/DescriptionFormatter,18,6
org/assertj/core/error/MessageFormatter,26,8
org/assertj/core/error/ShouldBeBetween,24,10
org/assertj/core/error/ShouldBeEqual,46,31
org/assertj/core/error/ShouldNotHaveDuplicates,17,3
org/assertj/core/extractor/ByNameSingleExtractor,19,6
org/assertj/core/extractor/Extractors,23,7
org/assertj/core/groups/FieldsOrPropertiesExtractor,22,6
org/assertj/core/groups/Properties,24,8
org/assertj/core/groups/Tuple,20,10
org/assertj/core/internal/AbstractComparisonStrategy,28,18
org/assertj/core/internal/Arrays,316,190
org/assertj/core/internal/Booleans,29,8
org/assertj/core/internal/Characters,20,8
org/assertj/core/internal/CommonValidations,60,37
org/assertj/core/internal/Comparables,59,44
org/assertj/core/internal/ComparatorBasedComparisonStrategy,54,39
org/assertj/core/internal/Conditions,33,13
org/assertj/core/internal/Failures,55,21
org/assertj/core/internal/Integers,24,13
org/assertj/core/internal/IterableDiff,18,12
org/assertj/core/internal/Iterables,239,179
org/assertj/core/internal/Lists,63,34
org/assertj/core/internal/Numbers,90,31
org/assertj/core/internal/Objects,210,119
org/assertj/core/internal/Predicates,14,4
org/assertj/core/internal/StandardComparisonStrategy,34,28
org/assertj/core/internal/Strings,201,148
org/assertj/core/internal/TypeComparators,29,15
org/assertj/core/presentation/StandardRepresentation,195,131
org/assertj/core/util/Arrays,44,36
org/assertj/core/util/ArrayWrapperList,26,9
org/assertj/core/util/Compatibility$System,9,3
org/assertj/core/util/DateUtil,88,64
org/assertj/core/util/introspection/ClassUtils,24,10
org/assertj/core/util/introspection/FieldSupport,68,31
org/assertj/core/util/introspection/FieldUtils,38,18
org/assertj/core/util/introspection/Introspection,43,12
org/assertj/core/util/introspection/MemberUtils,16,13
org/assertj/core/util/introspection/PropertyOrFieldSupport,52,20
org/assertj/core/util/introspection/PropertySupport,55,27
org/assertj/core/util/IterableUtil,33,20
org/assertj/core/util/Lists,27,11
org/assertj/core/util/Objects,32,22
org/assertj/core/util/Preconditions,35,18
org/assertj/core/util/Strings$StringsToJoin,24,9
org/assertj/core/util/Strings,29,17
org/assertj/core/util/Throwables,40,17
