MethodName,CallDepth,AlwaysUsed
0.setFirst,1,false
1.setName,1,false
2.setAge,1,false
3.none,1,false
4.apply,1,false
5.should_extract_property_field_combinations,1,false
6.setFirst,2,false
7.setLast,2,false
8.setName,2,false
9.setAge,2,false
10.setFirst,2,false
11.setLast,2,false
12.setName,2,false
13.setAge,2,false
14.setFirst,2,false
15.setLast,2,false
16.byName,2,false
17.extract,2,false
18.checkArgument,3,false
19.checkArgument,3,false
20.checkArgument,3,false
21.instance,3,true
22.extraction,3,false
23.instance,3,true
24.getValueOf,3,false
25.checkArgument,4,false
26.checkArgument,4,false
27.checkArgument,4,false
28.isNested,4,false
29.popNameFrom,4,false
30.isNested,5,false
31.getSimpleValue,4,false
32.propertyValueOf,5,false
33.checkArgument,6,false
34.isNestedProperty,6,false
35.propertyValue,6,false
36.getPropertyGetter,7,false
37.checkNotNullOrEmpty,8,false
38.checkNotNullOrEmpty,9,false
39.checkNotNull,10,true
40.checkNotNull,8,true
41.findGetter,8,false
42.findMethod,9,false
43.getMe,8,false
44.getMe,7,false
45.nextNameFrom,4,false
46.isNested,5,false
47.getValueOf,4,false
48.checkArgument,5,false
49.checkArgument,5,false
50.checkArgument,5,false
51.isNested,5,false
52.popNameFrom,5,false
53.isNested,6,false
54.getSimpleValue,5,false
55.propertyValueOf,6,false
56.checkArgument,7,false
57.isNestedProperty,7,false
58.propertyValue,7,false
59.getPropertyGetter,8,false
60.checkNotNullOrEmpty,9,false
61.checkNotNullOrEmpty,10,false
62.checkNotNull,11,true
63.checkNotNull,9,true
64.findGetter,9,false
65.findMethod,10,false
66.findMethod,10,false
67.propertyNotFoundErrorMessage,9,false
68.quote,10,false
69.concat,11,false
70.isNullOrEmpty,12,false
71.isEmpty,13,false
72.findGetter,10,false
73.findMethod,11,false
74.findMethod,11,false
75.fieldValue,9,false
76.isNestedField,10,false
77.readSimpleField,10,false
78.readField,11,false
79.checkArgument,12,false
80.getField,12,false
81.checkArgument,13,false
82.checkArgument,13,false
83.checkArgument,12,false
84.readField,12,false
85.readField,13,false
86.checkArgument,14,false
87.setAccessibleWorkaround,14,false
88.isPackageAccess,15,false
89.nextNameFrom,8,false
90.isNested,9,false
91.getValueOf,8,false
92.checkArgument,9,false
93.checkArgument,9,false
94.checkArgument,9,false
95.isNested,9,false
96.popNameFrom,9,false
97.isNested,10,false
98.getSimpleValue,9,false
99.propertyValueOf,10,false
100.checkArgument,11,false
101.isNestedProperty,11,false
102.propertyValue,11,false
