From,To,Overlap
AbstractAssert.java,AbstractAssert.java,0.0
AbstractAssert.java,AbstractAssert.java,0.0
AbstractAssert.java,AbstractBooleanAssert.java,0.29760403530895335
AbstractBooleanAssert.java,AbstractAssert.java,0.29760403530895335
AbstractAssert.java,AbstractCharSequenceAssert.java,0.15133037694013304
AbstractCharSequenceAssert.java,AbstractAssert.java,0.15133037694013304
AbstractAssert.java,AbstractIntegerAssert.java,0.25843694493783304
AbstractIntegerAssert.java,AbstractAssert.java,0.25843694493783304
AbstractAssert.java,AbstractIterableAssert.java,0.1038135593220339
AbstractIterableAssert.java,AbstractAssert.java,0.1038135593220339
AbstractAssert.java,AbstractListAssert.java,0.3227722772277228
AbstractListAssert.java,AbstractAssert.java,0.3227722772277228
AbstractAssert.java,AbstractObjectAssert.java,0.19076005961251863
AbstractObjectAssert.java,AbstractAssert.java,0.19076005961251863
AbstractAssert.java,Assertions.java,0.05016039661708953
Assertions.java,AbstractAssert.java,0.05016039661708953
AbstractAssert.java,AssertionsForClassTypes.java,0.070242656449553
AssertionsForClassTypes.java,AbstractAssert.java,0.070242656449553
AbstractAssert.java,AssertionsForInterfaceTypes.java,0.15895953757225434
AssertionsForInterfaceTypes.java,AbstractAssert.java,0.15895953757225434
AbstractAssert.java,ClassBasedNavigableIterableAssert.java,0.10909090909090909
ClassBasedNavigableIterableAssert.java,AbstractAssert.java,0.10909090909090909
AbstractAssert.java,Condition.java,0.24723247232472326
Condition.java,AbstractAssert.java,0.24723247232472326
AbstractAssert.java,ListAssert.java,0.16873706004140787
ListAssert.java,AbstractAssert.java,0.16873706004140787
AbstractAssert.java,WritableAssertionInfo.java,0.21182266009852216
WritableAssertionInfo.java,AbstractAssert.java,0.21182266009852216
AbstractAssert.java,AnyOf.java,0.24279835390946503
AnyOf.java,AbstractAssert.java,0.24279835390946503
AbstractAssert.java,Join.java,0.1414965986394558
Join.java,AbstractAssert.java,0.1414965986394558
AbstractAssert.java,ConfigurationProvider.java,0.14142857142857143
ConfigurationProvider.java,AbstractAssert.java,0.14142857142857143
AbstractAssert.java,Services.java,0.10760401721664276
Services.java,AbstractAssert.java,0.10760401721664276
AbstractAssert.java,MapEntry.java,0.22356091030789826
MapEntry.java,AbstractAssert.java,0.22356091030789826
AbstractAssert.java,Description.java,0.19714285714285715
Description.java,AbstractAssert.java,0.19714285714285715
AbstractAssert.java,TextDescription.java,0.24204702627939143
TextDescription.java,AbstractAssert.java,0.24204702627939143
AbstractAssert.java,BasicErrorMessageFactory.java,0.2289890377588307
BasicErrorMessageFactory.java,AbstractAssert.java,0.2289890377588307
AbstractAssert.java,ConstructorInvoker.java,0.1062937062937063
ConstructorInvoker.java,AbstractAssert.java,0.1062937062937063
AbstractAssert.java,DescriptionFormatter.java,0.14809590973201692
DescriptionFormatter.java,AbstractAssert.java,0.14809590973201692
AbstractAssert.java,MessageFormatter.java,0.15081521739130435
MessageFormatter.java,AbstractAssert.java,0.15081521739130435
AbstractAssert.java,ShouldBeBetween.java,0.13095238095238096
ShouldBeBetween.java,AbstractAssert.java,0.13095238095238096
AbstractAssert.java,ShouldBeEqual.java,0.21763392857142858
ShouldBeEqual.java,AbstractAssert.java,0.21763392857142858
AbstractAssert.java,ShouldNotHaveDuplicates.java,0.14124293785310735
ShouldNotHaveDuplicates.java,AbstractAssert.java,0.14124293785310735
AbstractAssert.java,ByNameSingleExtractor.java,0.16927453769559034
ByNameSingleExtractor.java,AbstractAssert.java,0.16927453769559034
