Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/api/AbstractAssert.<clinit>,()V,7,1
org/assertj/core/api/AbstractAssert.AbstractAssert,(Ljava/lang/Object;Ljava/lang/Class;)V,40,1
org/assertj/core/api/AbstractAssert.getWritableAssertionInfo,()Lorg/assertj/core/api/WritableAssertionInfo;,7,1
org/assertj/core/api/AbstractAssert.failWithMessage,(Ljava/lang/String;[Ljava/lang/Object;)V,58,2
org/assertj/core/api/AbstractAssert.throwAssertionError,(Lorg/assertj/core/error/ErrorMessageFactory;)V,19,1
org/assertj/core/api/AbstractAssert.removeCustomAssertRelatedElementsFromStackTraceIfNeeded,(Ljava/lang/AssertionError;)V,77,5
org/assertj/core/api/AbstractAssert.isAssertjAssertClass,()Z,10,1
org/assertj/core/api/AbstractAssert.isElementOfCustomAssert,(Ljava/lang/StackTraceElement;)Z,39,3
org/assertj/core/api/AbstractAssert.as,(Ljava/lang/String;[Ljava/lang/Object;)Lorg/assertj/core/api/AbstractAssert;,9,1
org/assertj/core/api/AbstractAssert.as,(Lorg/assertj/core/description/Description;)Lorg/assertj/core/api/AbstractAssert;,8,1
org/assertj/core/api/AbstractAssert.inHexadecimal,()Lorg/assertj/core/api/AbstractAssert;,12,1
org/assertj/core/api/AbstractAssert.inBinary,()Lorg/assertj/core/api/AbstractAssert;,12,1
org/assertj/core/api/AbstractAssert.describedAs,(Ljava/lang/String;[Ljava/lang/Object;)Lorg/assertj/core/api/AbstractAssert;,14,1
org/assertj/core/api/AbstractAssert.describedAs,(Lorg/assertj/core/description/Description;)Lorg/assertj/core/api/AbstractAssert;,13,1
org/assertj/core/api/AbstractAssert.isEqualTo,(Ljava/lang/Object;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.isNotEqualTo,(Ljava/lang/Object;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.isNull,()V,14,1
org/assertj/core/api/AbstractAssert.isNotNull,()Lorg/assertj/core/api/AbstractAssert;,16,1
org/assertj/core/api/AbstractAssert.isSameAs,(Ljava/lang/Object;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.isNotSameAs,(Ljava/lang/Object;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.isIn,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.isNotIn,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.isIn,(Ljava/lang/Iterable;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.isNotIn,(Ljava/lang/Iterable;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.is,(Lorg/assertj/core/api/Condition;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.isNot,(Lorg/assertj/core/api/Condition;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.has,(Lorg/assertj/core/api/Condition;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.doesNotHave,(Lorg/assertj/core/api/Condition;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.isInstanceOf,(Ljava/lang/Class;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.isInstanceOfSatisfying,(Ljava/lang/Class;Ljava/util/function/Consumer;)Lorg/assertj/core/api/AbstractAssert;,29,1
org/assertj/core/api/AbstractAssert.isInstanceOfAny,([Ljava/lang/Class;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.isNotInstanceOf,(Ljava/lang/Class;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.isNotInstanceOfAny,([Ljava/lang/Class;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.hasSameClassAs,(Ljava/lang/Object;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.hasToString,(Ljava/lang/String;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.doesNotHaveSameClassAs,(Ljava/lang/Object;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.isExactlyInstanceOf,(Ljava/lang/Class;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.isNotExactlyInstanceOf,(Ljava/lang/Class;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.isOfAnyClassIn,([Ljava/lang/Class;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.isNotOfAnyClassIn,([Ljava/lang/Class;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.asList,()Lorg/assertj/core/api/AbstractListAssert;,21,1
org/assertj/core/api/AbstractAssert.asString,()Lorg/assertj/core/api/AbstractCharSequenceAssert;,19,1
org/assertj/core/api/AbstractAssert.descriptionText,()Ljava/lang/String;,8,1
org/assertj/core/api/AbstractAssert.overridingErrorMessage,(Ljava/lang/String;[Ljava/lang/Object;)Lorg/assertj/core/api/AbstractAssert;,15,1
org/assertj/core/api/AbstractAssert.withFailMessage,(Ljava/lang/String;[Ljava/lang/Object;)Lorg/assertj/core/api/AbstractAssert;,14,1
org/assertj/core/api/AbstractAssert.usingComparator,(Ljava/util/Comparator;)Lorg/assertj/core/api/AbstractAssert;,18,1
org/assertj/core/api/AbstractAssert.usingDefaultComparator,()Lorg/assertj/core/api/AbstractAssert;,12,1
org/assertj/core/api/AbstractAssert.withThreadDumpOnError,()Lorg/assertj/core/api/AbstractAssert;,11,1
org/assertj/core/api/AbstractAssert.withRepresentation,(Lorg/assertj/core/presentation/Representation;)Lorg/assertj/core/api/AbstractAssert;,13,1
org/assertj/core/api/AbstractAssert.equals,(Ljava/lang/Object;)Z,9,1
org/assertj/core/api/AbstractAssert.hashCode,()I,6,1
org/assertj/core/api/AbstractAssert.matches,(Ljava/util/function/Predicate;)Lorg/assertj/core/api/AbstractAssert;,9,1
org/assertj/core/api/AbstractAssert.matches,(Ljava/util/function/Predicate;Ljava/lang/String;)Lorg/assertj/core/api/AbstractAssert;,12,1
org/assertj/core/api/AbstractAssert.satisfies,(Ljava/util/function/Consumer;)Lorg/assertj/core/api/AbstractAssert;,19,1
org/assertj/core/api/AbstractAssert.matches,(Ljava/util/function/Predicate;Lorg/assertj/core/presentation/PredicateDescription;)Lorg/assertj/core/api/AbstractAssert;,31,2
org/assertj/core/api/AbstractAssert.setCustomRepresentation,(Lorg/assertj/core/presentation/Representation;)V,9,1
org/assertj/core/api/AbstractAssert.hasSameHashCodeAs,(Ljava/lang/Object;)Lorg/assertj/core/api/AbstractAssert;,17,1
org/assertj/core/api/AbstractAssert.doesNotHaveSameClassAs,(Ljava/lang/Object;)Lorg/assertj/core/api/Assert;,8,1
org/assertj/core/api/AbstractAssert.as,(Lorg/assertj/core/description/Description;)Ljava/lang/Object;,8,1
org/assertj/core/api/AbstractAssert.as,(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/Object;,9,1
org/assertj/core/api/AbstractAssert.isNotExactlyInstanceOf,(Ljava/lang/Class;)Lorg/assertj/core/api/Assert;,8,1
