Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/api/AbstractBigIntegerAssert.AbstractBigIntegerAssert,(Ljava/math/BigInteger;Ljava/lang/Class;)V,16,1
org/assertj/core/api/AbstractBigIntegerAssert.isZero,()Lorg/assertj/core/api/AbstractBigIntegerAssert;,18,1
org/assertj/core/api/AbstractBigIntegerAssert.isNotZero,()Lorg/assertj/core/api/AbstractBigIntegerAssert;,18,1
org/assertj/core/api/AbstractBigIntegerAssert.isOne,()Lorg/assertj/core/api/AbstractBigIntegerAssert;,18,1
org/assertj/core/api/AbstractBigIntegerAssert.isPositive,()Lorg/assertj/core/api/AbstractBigIntegerAssert;,18,1
org/assertj/core/api/AbstractBigIntegerAssert.isNegative,()Lorg/assertj/core/api/AbstractBigIntegerAssert;,18,1
org/assertj/core/api/AbstractBigIntegerAssert.isNotNegative,()Lorg/assertj/core/api/AbstractBigIntegerAssert;,18,1
org/assertj/core/api/AbstractBigIntegerAssert.isNotPositive,()Lorg/assertj/core/api/AbstractBigIntegerAssert;,18,1
org/assertj/core/api/AbstractBigIntegerAssert.isCloseTo,(Ljava/math/BigInteger;Lorg/assertj/core/data/Offset;)Lorg/assertj/core/api/AbstractBigIntegerAssert;,20,1
org/assertj/core/api/AbstractBigIntegerAssert.isNotCloseTo,(Ljava/math/BigInteger;Lorg/assertj/core/data/Offset;)Lorg/assertj/core/api/AbstractBigIntegerAssert;,20,1
org/assertj/core/api/AbstractBigIntegerAssert.isCloseTo,(Ljava/math/BigInteger;Lorg/assertj/core/data/Percentage;)Lorg/assertj/core/api/AbstractBigIntegerAssert;,20,1
org/assertj/core/api/AbstractBigIntegerAssert.isNotCloseTo,(Ljava/math/BigInteger;Lorg/assertj/core/data/Percentage;)Lorg/assertj/core/api/AbstractBigIntegerAssert;,20,1
org/assertj/core/api/AbstractBigIntegerAssert.isBetween,(Ljava/math/BigInteger;Ljava/math/BigInteger;)Lorg/assertj/core/api/AbstractBigIntegerAssert;,20,1
org/assertj/core/api/AbstractBigIntegerAssert.isStrictlyBetween,(Ljava/math/BigInteger;Ljava/math/BigInteger;)Lorg/assertj/core/api/AbstractBigIntegerAssert;,20,1
org/assertj/core/api/AbstractBigIntegerAssert.isEqualTo,(Ljava/lang/String;)Lorg/assertj/core/api/AbstractBigIntegerAssert;,12,1
org/assertj/core/api/AbstractBigIntegerAssert.isEqualTo,(I)Lorg/assertj/core/api/AbstractBigIntegerAssert;,13,1
org/assertj/core/api/AbstractBigIntegerAssert.isEqualTo,(J)Lorg/assertj/core/api/AbstractBigIntegerAssert;,13,1
org/assertj/core/api/AbstractBigIntegerAssert.usingComparator,(Ljava/util/Comparator;)Lorg/assertj/core/api/AbstractBigIntegerAssert;,25,1
org/assertj/core/api/AbstractBigIntegerAssert.usingDefaultComparator,()Lorg/assertj/core/api/AbstractBigIntegerAssert;,18,1
org/assertj/core/api/AbstractBigIntegerAssert.isZero,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractBigIntegerAssert.isNotZero,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractBigIntegerAssert.isCloseTo,(Ljava/lang/Number;Lorg/assertj/core/data/Percentage;)Lorg/assertj/core/api/NumberAssert;,10,1
org/assertj/core/api/AbstractBigIntegerAssert.isCloseTo,(Ljava/lang/Number;Lorg/assertj/core/data/Offset;)Lorg/assertj/core/api/NumberAssert;,11,1
org/assertj/core/api/AbstractBigIntegerAssert.isNegative,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractBigIntegerAssert.usingComparator,(Ljava/util/Comparator;)Lorg/assertj/core/api/AbstractComparableAssert;,9,1
org/assertj/core/api/AbstractBigIntegerAssert.isPositive,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractBigIntegerAssert.isNotNegative,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractBigIntegerAssert.isBetween,(Ljava/lang/Number;Ljava/lang/Number;)Lorg/assertj/core/api/NumberAssert;,11,1
org/assertj/core/api/AbstractBigIntegerAssert.isBetween,(Ljava/lang/Comparable;Ljava/lang/Comparable;)Lorg/assertj/core/api/AbstractComparableAssert;,11,1
org/assertj/core/api/AbstractBigIntegerAssert.isStrictlyBetween,(Ljava/lang/Number;Ljava/lang/Number;)Lorg/assertj/core/api/NumberAssert;,11,1
org/assertj/core/api/AbstractBigIntegerAssert.isStrictlyBetween,(Ljava/lang/Comparable;Ljava/lang/Comparable;)Lorg/assertj/core/api/AbstractComparableAssert;,11,1
org/assertj/core/api/AbstractBigIntegerAssert.isNotPositive,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractBigIntegerAssert.isOne,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractBigIntegerAssert.isNotCloseTo,(Ljava/lang/Number;Lorg/assertj/core/data/Percentage;)Lorg/assertj/core/api/NumberAssert;,10,1
org/assertj/core/api/AbstractBigIntegerAssert.isNotCloseTo,(Ljava/lang/Number;Lorg/assertj/core/data/Offset;)Lorg/assertj/core/api/NumberAssert;,11,1
org/assertj/core/api/AbstractBigIntegerAssert.usingDefaultComparator,()Lorg/assertj/core/api/AbstractComparableAssert;,7,1
