Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/api/AbstractIntegerAssert.AbstractIntegerAssert,(Ljava/lang/Integer;Ljava/lang/Class;)V,16,1
org/assertj/core/api/AbstractIntegerAssert.isEqualTo,(I)Lorg/assertj/core/api/AbstractIntegerAssert;,20,1
org/assertj/core/api/AbstractIntegerAssert.isNotEqualTo,(I)Lorg/assertj/core/api/AbstractIntegerAssert;,20,1
org/assertj/core/api/AbstractIntegerAssert.isZero,()Lorg/assertj/core/api/AbstractIntegerAssert;,18,1
org/assertj/core/api/AbstractIntegerAssert.isNotZero,()Lorg/assertj/core/api/AbstractIntegerAssert;,18,1
org/assertj/core/api/AbstractIntegerAssert.isOne,()Lorg/assertj/core/api/AbstractIntegerAssert;,18,1
org/assertj/core/api/AbstractIntegerAssert.isPositive,()Lorg/assertj/core/api/AbstractIntegerAssert;,18,1
org/assertj/core/api/AbstractIntegerAssert.isNegative,()Lorg/assertj/core/api/AbstractIntegerAssert;,18,1
org/assertj/core/api/AbstractIntegerAssert.isNotNegative,()Lorg/assertj/core/api/AbstractIntegerAssert;,18,1
org/assertj/core/api/AbstractIntegerAssert.isNotPositive,()Lorg/assertj/core/api/AbstractIntegerAssert;,18,1
org/assertj/core/api/AbstractIntegerAssert.isLessThan,(I)Lorg/assertj/core/api/AbstractIntegerAssert;,20,1
org/assertj/core/api/AbstractIntegerAssert.isLessThanOrEqualTo,(I)Lorg/assertj/core/api/AbstractIntegerAssert;,20,1
org/assertj/core/api/AbstractIntegerAssert.isGreaterThan,(I)Lorg/assertj/core/api/AbstractIntegerAssert;,20,1
org/assertj/core/api/AbstractIntegerAssert.isGreaterThanOrEqualTo,(I)Lorg/assertj/core/api/AbstractIntegerAssert;,20,1
org/assertj/core/api/AbstractIntegerAssert.isBetween,(Ljava/lang/Integer;Ljava/lang/Integer;)Lorg/assertj/core/api/AbstractIntegerAssert;,20,1
org/assertj/core/api/AbstractIntegerAssert.isStrictlyBetween,(Ljava/lang/Integer;Ljava/lang/Integer;)Lorg/assertj/core/api/AbstractIntegerAssert;,20,1
org/assertj/core/api/AbstractIntegerAssert.isCloseTo,(ILorg/assertj/core/data/Offset;)Lorg/assertj/core/api/AbstractIntegerAssert;,21,1
org/assertj/core/api/AbstractIntegerAssert.isNotCloseTo,(ILorg/assertj/core/data/Offset;)Lorg/assertj/core/api/AbstractIntegerAssert;,21,1
org/assertj/core/api/AbstractIntegerAssert.isCloseTo,(Ljava/lang/Integer;Lorg/assertj/core/data/Offset;)Lorg/assertj/core/api/AbstractIntegerAssert;,20,1
org/assertj/core/api/AbstractIntegerAssert.isNotCloseTo,(Ljava/lang/Integer;Lorg/assertj/core/data/Offset;)Lorg/assertj/core/api/AbstractIntegerAssert;,20,1
org/assertj/core/api/AbstractIntegerAssert.isCloseTo,(Ljava/lang/Integer;Lorg/assertj/core/data/Percentage;)Lorg/assertj/core/api/AbstractIntegerAssert;,20,1
org/assertj/core/api/AbstractIntegerAssert.isNotCloseTo,(Ljava/lang/Integer;Lorg/assertj/core/data/Percentage;)Lorg/assertj/core/api/AbstractIntegerAssert;,20,1
org/assertj/core/api/AbstractIntegerAssert.isCloseTo,(ILorg/assertj/core/data/Percentage;)Lorg/assertj/core/api/AbstractIntegerAssert;,21,1
org/assertj/core/api/AbstractIntegerAssert.isNotCloseTo,(ILorg/assertj/core/data/Percentage;)Lorg/assertj/core/api/AbstractIntegerAssert;,21,1
org/assertj/core/api/AbstractIntegerAssert.usingComparator,(Ljava/util/Comparator;)Lorg/assertj/core/api/AbstractIntegerAssert;,25,1
org/assertj/core/api/AbstractIntegerAssert.usingDefaultComparator,()Lorg/assertj/core/api/AbstractIntegerAssert;,18,1
org/assertj/core/api/AbstractIntegerAssert.isZero,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractIntegerAssert.isNotZero,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractIntegerAssert.isCloseTo,(Ljava/lang/Number;Lorg/assertj/core/data/Percentage;)Lorg/assertj/core/api/NumberAssert;,10,1
org/assertj/core/api/AbstractIntegerAssert.isCloseTo,(Ljava/lang/Number;Lorg/assertj/core/data/Offset;)Lorg/assertj/core/api/NumberAssert;,11,1
org/assertj/core/api/AbstractIntegerAssert.isNegative,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractIntegerAssert.usingComparator,(Ljava/util/Comparator;)Lorg/assertj/core/api/AbstractComparableAssert;,9,1
org/assertj/core/api/AbstractIntegerAssert.isPositive,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractIntegerAssert.isNotNegative,()Lorg/assertj/core/api/NumberAssert;,7,1
org/assertj/core/api/AbstractIntegerAssert.isBetween,(Ljava/lang/Number;Ljava/lang/Number;)Lorg/assertj/core/api/NumberAssert;,11,1
org/assertj/core/api/AbstractIntegerAssert.isBetween,(Ljava/lang/Comparable;Ljava/lang/Comparable;)Lorg/assertj/core/api/AbstractComparableAssert;,11,1
