Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/api/IterableAssert.IterableAssert,(Ljava/lang/Iterable;)V,14,1
org/assertj/core/api/IterableAssert.IterableAssert,(Ljava/util/Iterator;)V,11,1
org/assertj/core/api/IterableAssert.isEqualTo,(Ljava/lang/Object;)Lorg/assertj/core/api/IterableAssert;,33,2
org/assertj/core/api/IterableAssert.isInstanceOf,(Ljava/lang/Class;)Lorg/assertj/core/api/IterableAssert;,33,2
org/assertj/core/api/IterableAssert.isInstanceOfAny,([Ljava/lang/Class;)Lorg/assertj/core/api/IterableAssert;,33,2
org/assertj/core/api/IterableAssert.isOfAnyClassIn,([Ljava/lang/Class;)Lorg/assertj/core/api/IterableAssert;,33,2
org/assertj/core/api/IterableAssert.isExactlyInstanceOf,(Ljava/lang/Class;)Lorg/assertj/core/api/IterableAssert;,33,2
org/assertj/core/api/IterableAssert.isNotInstanceOf,(Ljava/lang/Class;)Lorg/assertj/core/api/IterableAssert;,33,2
org/assertj/core/api/IterableAssert.isNotInstanceOfAny,([Ljava/lang/Class;)Lorg/assertj/core/api/IterableAssert;,33,2
org/assertj/core/api/IterableAssert.isNotOfAnyClassIn,([Ljava/lang/Class;)Lorg/assertj/core/api/IterableAssert;,33,2
org/assertj/core/api/IterableAssert.isNotExactlyInstanceOf,(Ljava/lang/Class;)Lorg/assertj/core/api/IterableAssert;,33,2
org/assertj/core/api/IterableAssert.isSameAs,(Ljava/lang/Object;)Lorg/assertj/core/api/IterableAssert;,33,2
org/assertj/core/api/IterableAssert.isNotSameAs,(Ljava/lang/Object;)Lorg/assertj/core/api/IterableAssert;,33,2
org/assertj/core/api/IterableAssert.startsWith,([Ljava/lang/Object;)Lorg/assertj/core/api/IterableAssert;,123,8
org/assertj/core/api/IterableAssert.actualDoesNotStartWithSequence,(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Iterable;[Ljava/lang/Object;)Ljava/lang/AssertionError;,14,1
org/assertj/core/api/IterableAssert.asLazyIterable,()Lorg/assertj/core/api/IterableAssert$LazyIterable;,8,1
org/assertj/core/api/IterableAssert.toIterable,(Ljava/util/Iterator;)Ljava/lang/Iterable;,29,2
org/assertj/core/api/IterableAssert.contains,([Ljava/lang/Object;)Lorg/assertj/core/api/IterableAssert;,9,1
org/assertj/core/api/IterableAssert.containsOnly,([Ljava/lang/Object;)Lorg/assertj/core/api/IterableAssert;,9,1
org/assertj/core/api/IterableAssert.containsOnlyOnce,([Ljava/lang/Object;)Lorg/assertj/core/api/IterableAssert;,9,1
org/assertj/core/api/IterableAssert.containsExactly,([Ljava/lang/Object;)Lorg/assertj/core/api/IterableAssert;,9,1
org/assertj/core/api/IterableAssert.containsExactlyInAnyOrder,([Ljava/lang/Object;)Lorg/assertj/core/api/IterableAssert;,9,1
org/assertj/core/api/IterableAssert.isSubsetOf,([Ljava/lang/Object;)Lorg/assertj/core/api/IterableAssert;,9,1
org/assertj/core/api/IterableAssert.containsSequence,([Ljava/lang/Object;)Lorg/assertj/core/api/IterableAssert;,9,1
org/assertj/core/api/IterableAssert.doesNotContainSequence,([Ljava/lang/Object;)Lorg/assertj/core/api/IterableAssert;,9,1
org/assertj/core/api/IterableAssert.containsSubsequence,([Ljava/lang/Object;)Lorg/assertj/core/api/IterableAssert;,9,1
org/assertj/core/api/IterableAssert.doesNotContainSubsequence,([Ljava/lang/Object;)Lorg/assertj/core/api/IterableAssert;,9,1
org/assertj/core/api/IterableAssert.doesNotContain,([Ljava/lang/Object;)Lorg/assertj/core/api/IterableAssert;,9,1
org/assertj/core/api/IterableAssert.endsWith,(Ljava/lang/Object;[Ljava/lang/Object;)Lorg/assertj/core/api/IterableAssert;,10,1
org/assertj/core/api/IterableAssert.containsSequence,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,9,1
org/assertj/core/api/IterableAssert.isSubsetOf,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,9,1
org/assertj/core/api/IterableAssert.doesNotContain,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,9,1
org/assertj/core/api/IterableAssert.isNotSameAs,(Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,8,1
org/assertj/core/api/IterableAssert.contains,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,9,1
org/assertj/core/api/IterableAssert.isInstanceOf,(Ljava/lang/Class;)Lorg/assertj/core/api/AbstractIterableAssert;,8,1
org/assertj/core/api/IterableAssert.doesNotContainSequence,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,9,1
org/assertj/core/api/IterableAssert.startsWith,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,9,1
org/assertj/core/api/IterableAssert.containsSubsequence,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,9,1
org/assertj/core/api/IterableAssert.isOfAnyClassIn,([Ljava/lang/Class;)Lorg/assertj/core/api/AbstractIterableAssert;,8,1
org/assertj/core/api/IterableAssert.containsExactly,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,9,1
org/assertj/core/api/IterableAssert.containsOnly,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,9,1
org/assertj/core/api/IterableAssert.isNotInstanceOfAny,([Ljava/lang/Class;)Lorg/assertj/core/api/AbstractIterableAssert;,8,1
org/assertj/core/api/IterableAssert.isNotInstanceOf,(Ljava/lang/Class;)Lorg/assertj/core/api/AbstractIterableAssert;,8,1
org/assertj/core/api/IterableAssert.isNotExactlyInstanceOf,(Ljava/lang/Class;)Lorg/assertj/core/api/AbstractIterableAssert;,8,1
org/assertj/core/api/IterableAssert.isNotOfAnyClassIn,([Ljava/lang/Class;)Lorg/assertj/core/api/AbstractIterableAssert;,8,1
org/assertj/core/api/IterableAssert.containsOnlyOnce,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,9,1
org/assertj/core/api/IterableAssert.isInstanceOfAny,([Ljava/lang/Class;)Lorg/assertj/core/api/AbstractIterableAssert;,8,1
org/assertj/core/api/IterableAssert.containsExactlyInAnyOrder,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,9,1
org/assertj/core/api/IterableAssert.isSameAs,(Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,8,1
org/assertj/core/api/IterableAssert.doesNotContainSubsequence,([Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,9,1
org/assertj/core/api/IterableAssert.isExactlyInstanceOf,(Ljava/lang/Class;)Lorg/assertj/core/api/AbstractIterableAssert;,8,1
org/assertj/core/api/IterableAssert.isEqualTo,(Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,8,1
org/assertj/core/api/IterableAssert.endsWith,(Ljava/lang/Object;[Ljava/lang/Object;)Lorg/assertj/core/api/AbstractIterableAssert;,11,1
org/assertj/core/api/IterableAssert.access$24,(Ljava/util/Iterator;)Ljava/lang/Iterable;,7,1
