Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/presentation/StandardRepresentation.<clinit>,()V,33,1
org/assertj/core/presentation/StandardRepresentation.StandardRepresentation,()V,7,1
org/assertj/core/presentation/StandardRepresentation.resetDefaults,()V,13,1
org/assertj/core/presentation/StandardRepresentation.setMaxLengthForSingleLineDescription,(I)V,29,2
org/assertj/core/presentation/StandardRepresentation.getMaxLengthForSingleLineDescription,()I,6,1
org/assertj/core/presentation/StandardRepresentation.setMaxElementsForPrinting,(I)V,30,2
org/assertj/core/presentation/StandardRepresentation.registerFormatterForType,(Ljava/lang/Class;Ljava/util/function/Function;)V,12,1
org/assertj/core/presentation/StandardRepresentation.removeAllRegisteredFormatters,()V,9,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/lang/Object;)Ljava/lang/String;,345,33
org/assertj/core/presentation/StandardRepresentation.customFormat,(Ljava/lang/Object;)Ljava/lang/String;,20,2
org/assertj/core/presentation/StandardRepresentation.hasCustomFormatterFor,(Ljava/lang/Object;)Z,16,2
org/assertj/core/presentation/StandardRepresentation.unambiguousToStringOf,(Ljava/lang/Object;)Ljava/lang/String;,37,2
org/assertj/core/presentation/StandardRepresentation.fallbackToStringOf,(Ljava/lang/Object;)Ljava/lang/String;,7,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/lang/Number;)Ljava/lang/String;,29,3
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/util/concurrent/atomic/AtomicBoolean;)Ljava/lang/String;,15,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/util/concurrent/atomic/AtomicInteger;)Ljava/lang/String;,15,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/util/concurrent/atomic/AtomicLong;)Ljava/lang/String;,15,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/util/Comparator;)Ljava/lang/String;,53,4
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/util/Calendar;)Ljava/lang/String;,7,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/lang/Class;)Ljava/lang/String;,7,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/lang/String;)Ljava/lang/String;,20,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/lang/Character;)Ljava/lang/String;,20,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Lorg/assertj/core/presentation/PredicateDescription;)Ljava/lang/String;,31,2
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/util/Date;)Ljava/lang/String;,7,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/lang/Float;)Ljava/lang/String;,13,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/lang/Long;)Ljava/lang/String;,13,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/io/File;)Ljava/lang/String;,7,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/text/SimpleDateFormat;)Ljava/lang/String;,7,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/util/concurrent/CompletableFuture;)Ljava/lang/String;,116,4
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Lorg/assertj/core/groups/Tuple;)Ljava/lang/String;,11,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Lorg/assertj/core/data/MapEntry;)Ljava/lang/String;,23,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,(Ljava/util/Map;)Ljava/lang/String;,106,5
org/assertj/core/presentation/StandardRepresentation.toSortedMapIfPossible,(Ljava/util/Map;)Ljava/util/Map;,18,2
