Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/api/ThrowableTypeAssert.ThrowableTypeAssert,(Ljava/lang/Class;)V,17,1
org/assertj/core/api/ThrowableTypeAssert.isThrownBy,(Lorg/assertj/core/api/ThrowableAssert$ThrowingCallable;)Lorg/assertj/core/api/ThrowableAssertAlternative;,35,1
org/assertj/core/api/ThrowableTypeAssert.as,(Ljava/lang/String;[Ljava/lang/Object;)Lorg/assertj/core/api/ThrowableTypeAssert;,9,1
org/assertj/core/api/ThrowableTypeAssert.as,(Lorg/assertj/core/description/Description;)Lorg/assertj/core/api/ThrowableTypeAssert;,8,1
org/assertj/core/api/ThrowableTypeAssert.describedAs,(Ljava/lang/String;[Ljava/lang/Object;)Lorg/assertj/core/api/ThrowableTypeAssert;,15,1
org/assertj/core/api/ThrowableTypeAssert.describedAs,(Lorg/assertj/core/description/Description;)Lorg/assertj/core/api/ThrowableTypeAssert;,11,1
org/assertj/core/api/ThrowableTypeAssert.as,(Lorg/assertj/core/description/Description;)Ljava/lang/Object;,8,1
org/assertj/core/api/ThrowableTypeAssert.as,(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/Object;,9,1
org/assertj/core/api/ThrowableTypeAssert.describedAs,(Lorg/assertj/core/description/Description;)Ljava/lang/Object;,8,1
org/assertj/core/api/ThrowableTypeAssert.describedAs,(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/Object;,9,1
